pagina,id,nombre,categoria,ubicacion,url
15,12736,BABY LAND Pañalera,panaleras,panaleras,https://guiarsanrafael.com.ar/empresa/baby-land-panalera/
15,12740,MARIA PAULA FRANCESCHINI,mueblerias-muebles-de-oficina,mueblerias,https://guiarsanrafael.com.ar/empresa/maria-paula-franceschini/
15,12752,JUGUETERIA DON CARMELO,jugueterias-regaleria,jugueteria,https://guiarsanrafael.com.ar/empresa/jugueteria-don-carmelo/
15,12753,BRILLA el lugar de tu evento,eventos,catering,https://guiarsanrafael.com.ar/empresa/brilla-el-lugar-de-tu-evento/
15,12808,CARLEVARIS LEANDRO,reumatologia,reumatologia,https://guiarsanrafael.com.ar/empresa/carlevaris-leandro/
15,12820,YOLI QUINTERO ORDINOLA,diagnostico-por-imagenes-ecografia-mamografias,diagnostico-por-imagenes,https://guiarsanrafael.com.ar/empresa/yoli-quinteros-ordinol/
16,12582,PESCADERIA EL GALLEGO,casa-de-comidas-rotiseria-viandas,casa-de-comidas,https://guiarsanrafael.com.ar/empresa/pescaderia-el-gallego/
16,12594,LIBRERÍA SAN LORENZO,bazar-regaleria,librerias,https://guiarsanrafael.com.ar/empresa/libreria-san-lorenzo/
16,12611,NUTRIMENTO Casa de Mascotas,alimentos-balanceados,alimentos-balanceados,https://guiarsanrafael.com.ar/empresa/nutrimento-casa-de-mascotas/
16,12634,AGUSTIN OLIVARES,kinesiologia-y-fisioterapia,kinesiologia-y-fisioterapia,https://guiarsanrafael.com.ar/empresa/agustin-olivares/
16,12638,LIMPIA FÁCIL,articulos-de-limpieza-todo-suelto,articulos-de-limpieza,https://guiarsanrafael.com.ar/empresa/limpia-facil/
16,12641,CAMILA PLA Esp. en Diagnóstico Mamario,diagnostico-por-imagenes-ecografia-mamografias,diagnostico-por-imagenes,https://guiarsanrafael.com.ar/empresa/camila-pla/
16,12652,KV GIMNASIO,gimnasios-gym,gimnasios,https://guiarsanrafael.com.ar/empresa/kv-gimnasio/
16,12668,VICTOR GALERA,seguros-generales,productor-de-seguros,https://guiarsanrafael.com.ar/empresa/victor-galera/
16,12676,CELULARES NICO,accesorios-de-telefonia-celular,accesorios-de-telefonia,https://guiarsanrafael.com.ar/empresa/celulares-nico/
16,12689,ALIMECH Las Cuadradas,almacen-natural,almacen-natural,https://guiarsanrafael.com.ar/empresa/alimech-las-cuadradas/
17,12560,Reche Muebles,mueblerias-muebles-de-oficina,mueblerias,https://guiarsanrafael.com.ar/empresa/reche-muebles/
17,12561,Buxó Muebles,mueblerias-muebles-de-oficina,mueblerias,https://guiarsanrafael.com.ar/empresa/buxo-muebles/
17,12562,Muebles Rolando,mueblerias-muebles-de-oficina,mueblerias,https://guiarsanrafael.com.ar/empresa/muebles-rolando/
17,12563,DON CARMELO Premium,blanco-colchones-sabanas-tuallones,blanco,https://guiarsanrafael.com.ar/empresa/don-carmelo-premium/
17,12564,Mueblería Bahía,mueblerias-muebles-de-oficina,mueblerias,https://guiarsanrafael.com.ar/empresa/muebleria-bahia/
17,12565,Industria Argentina Muebles,mueblerias-muebles-de-oficina,mueblerias,https://guiarsanrafael.com.ar/empresa/industria-argentina-muebles/
17,12566,Reche Amoblamientos,mueblerias-muebles-de-oficina,mueblerias,https://guiarsanrafael.com.ar/empresa/reche-amoblamientos/
17,12567,Mendoza Textil Living San Rafael,mueblerias-muebles-de-oficina,mueblerias,https://guiarsanrafael.com.ar/empresa/mendoza-textil-living-san-rafael/
17,12568,BUENAS MADERAS Amoblamientos,amoblamientos,articulos-para-el-hogar,https://guiarsanrafael.com.ar/empresa/buenas-maderas-amoblamientos/
17,12571,STATUS Barbería & Peluquería,barberias-peluqueria-barberos,barberias,https://guiarsanrafael.com.ar/empresa/status-barber-coffee/
18,12417,ANA LIZ BIURRUM,centro-de-rehabilitacion,centro-de-rehabilitacion,https://guiarsanrafael.com.ar/empresa/ana-liz-biurrum/
18,12418,FLORENCIA SANCHEZ,centro-de-rehabilitacion,centro-de-rehabilitacion,https://guiarsanrafael.com.ar/empresa/florencia-sanchez/
18,12439,ECXO Distribuidora Mayorista,distribuidoras,distribuidoras,https://guiarsanrafael.com.ar/empresa/ecxo-distribuidora-mayorista/
18,12456,DEL TELAR Retasería,mercerias,mercerias,https://guiarsanrafael.com.ar/empresa/del-telar-retaseria-2/
18,12480,SOLAR MENDOZA San Rafael,bombas-de-agua-riego,bombas-de-agua,https://guiarsanrafael.com.ar/empresa/solar-mendoza-san-rafael/
18,12493,JV Soluciones Constructivas,construccion-en-seco-constructoras,construccion-en-seco,https://guiarsanrafael.com.ar/empresa/jv-soluciones-constructivas/
18,12496,SUR TÉCNICA,articulos-de-goma,articulos-de-goma,https://guiarsanrafael.com.ar/empresa/sur-tecnica/
18,12506,RENTACAR SUR,alquiler-de-autos,alquiler-de-autos,https://guiarsanrafael.com.ar/empresa/rentacar-sur/
